nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-03-09 21:40:00",1620,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-03-09 21:40:00",1400,"Status : Siaga 3"
"P.A. Flusing Ancol",Ciliwung,-6.129859,106.831254,"2020-03-09 21:40:00",1380,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-03-09 21:40:00",2030,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-03-09 22:10:00",250,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-03-09 22:10:00",250,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-03-09 22:10:00",780,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-03-09 22:10:00",6190,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-03-09 22:10:00",220,"Status : Normal"
"Pompa Cideng","Cideng Siantar",-6.173271,106.806351,"2020-03-09 22:10:00",140,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-03-09 22:10:00",2950,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-03-09 22:10:00",1540,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-03-09 22:10:00",1530,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-03-09 22:10:00",-2000,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-03-09 22:10:00",540,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-03-09 22:10:00",530,"Status : Normal"
